code_indicateur;exercice;graphique_n;graphique_intitule;tableau_n;tableau_intitule;score;statut
activite-entreprises-evolution-secteur-selon-stock;2022;1;Evolution du stock des entreprises de 2016 à 2022 selon le secteur d’activité (en %);1;Répartition du stock des entreprises estimé en 2022 selon le secteur d’activité;0.625;candidat
pme-region-repartition-selon-stock;2022;2;Répartition du stock des PME en 2022 selon la région (en %);6;Répartition du stock des PME estimé en 2022 selon la Région;0.833;candidat
activite-evolution-pme-secteur-selon-stock;2022;3;Evolution du stock des PME de 2016 à 2022 selon le secteur d’activité (en %);3;Répartition du stock des PME estimé en 2022 selon le secteur d’activité;0.625;candidat
dirigeant-pme-promoteur-repartition-sexe-stock;2022;4;Répartition du stock des PME par sexe du promoteur et du dirigeant (en %) en 2022;7;Répartition du stock des PME estimé en 2022 selon le sexe du Promoteur et du dirigeant;0.75;candidat
age-dirigeant-pme-promoteur-repartition-selon;2022;5;Répartition du stock des PME selon la tranche d’âge du promoteur et du dirigeant (en %);8;Répartition du stock des PME estimé en 2022 selon la tranche d’âge du Promoteur et du Dirigeant;0.889;candidat
cfce-creees-entre-evolution-pme;2022;6;Evolution des PME créées dans les CFCE entre 2017 et;9;Evolution des PME créées dans les CFCE entre 2017 et;1.0;candidat
cfce-creees-entre-evolution-pme-promoteur;2022;7;Evolution des PME créées dans les CFCE entre 2017 et 2022 selon le sexe du promoteur;13;Evolution des PME créées dans les CFCE entre 2017 et 2022 selon le sexe du promoteur;1.0;candidat
age-cfce-creees-pme-promoteur-repartition;2022;8;Répartition des PME créées dans les CFCE en 2022 selon la tranche d’âge du promoteur;14;Répartition des PME créées dans les CFCE en 2022 selon la tranche d’âge du promoteur;1.0;candidat
activite-branche-enregistrees-oes-repartition-secteur;2022;9;Répartition des OES enregistrées en 2022 selon le secteur et la branche d’activité (en %);25;Répartition des OES enregistrées selon le secteur d’activité et par région en;0.75;candidat
bca-enregistrees-evolution-periode-upa;2022;10;Evolution des UPA enregistrées dans les BCA sur la période 2017-2022;32;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon la région;0.333;candidat
bureaux-communaux-enregistrees-evolution-selon-upa;2022;11;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon la;32;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon la région;0.857;candidat
bureaux-communaux-enregistrees-evolution-selon-upa;2022;12;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon le;32;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon la région;0.857;candidat
bureaux-communaux-enregistrees-evolution-selon-type;2022;13;Evolution des UPA enregistrées dans les Bureaux Communaux en 2022 selon le type;34;Evolution des UPA enregistrées dans les Bureaux Communaux de 2017 à 2022 selon le type;1.0;candidat
ajoutees-evolution-periode-pme-valeurs;2022;14;Evolution des Valeurs Ajoutées des PME sur la période 2018-2022;9;Evolution des PME créées dans les CFCE entre 2017 et;0.25;à_vérifier
appui-ayant-beneficie-oes-pme-proportion;2022;15;Proportion des PME, OES et UPA ayant bénéficié d’un appui technique en;47;Effectif des PME créées, des OES et des Artisans bénéficiaires d’un accompagnement technique;0.231;à_vérifier
